#lat=6.81,lon=-73.17,ratio=120,initial_date=20191201 000000,final_date=20191202 000000,min_mag=0,max_mag=8,min_prof=-5,max_prof=250,event_type=None,station_list=None
,agency,id,time_event,latitude,longitude,depth,radio,magnitude,rms,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,Region,type
33,SGC,SGC2019xpyavo,2019-12-01 10:48:47,6.19,-73.85,100.41,101.91,1.4,0.38,3.3,1.555634919,1.555634919,"Landázuri - Santander, Colombia",earthquake
34,SGC,SGC2019xpyclr,2019-12-01 10:50:27,6.84,-73.17,147.26,3.1,2.66,0.51,1.6,1.13137085,1.13137085,"Los Santos - Santander, Colombia",earthquake
35,SGC,SGC2019xpyrsx,2019-12-01 11:08:09,6.81,-73.17,138.75,0.25,1.68,0.18,1.4,1.272792206,1.272792206,"Los Santos - Santander, Colombia",earthquake
36,SGC,SGC2019xpzwvx,2019-12-01 11:44:15,6.83,-73.13,149.34,4.92,2.14,0.49,1.9,1.414213562,1.414213562,"Los Santos - Santander, Colombia",earthquake
37,SGC,SGC2019xqfexv,2019-12-01 14:24:30,6.83,-73.14,143.65,3.78,1.8,0.27,2.4,2.2627417,2.2627417,"Los Santos - Santander, Colombia",earthquake
38,SGC,SGC2019xqfgjd,2019-12-01 14:25:56,7.07,-73.19,123.57,28.97,1.43,0.24,2.4,2.687005769,2.687005769,"Girón - Santander, Colombia",earthquake
39,SGC,SGC2019xqfinq,2019-12-01 14:28:41,6.75,-73.14,145.53,8.1,1.75,0.28,2.9,2.61629509,2.61629509,"Los Santos - Santander, Colombia",earthquake
40,SGC,SGC2019xqiqjq,2019-12-01 16:08:19,6.67,-73.2,25.16,16.52,1.46,0.54,2.1,1.202081528,1.202081528,"Barichara - Santander, Colombia",earthquake
41,SGC,SGC2019xqjtjs,2019-12-01 16:41:58,6.83,-73.18,147.55,2.17,2.75,0.61,1.9,1.414213562,1.414213562,"Zapatoca - Santander, Colombia",earthquake
42,SGC,SGC2019xqkgym,2019-12-01 16:57:43,6.56,-73.61,112.59,55.76,1.43,0.13,1.0,0.4949747468,0.4949747468,"El Carmen - Santander, Colombia",earthquake
43,SGC,SGC2019xqkzck,2019-12-01 17:18:46,6.59,-73.6,113.64,53.49,1.57,0.49,3.1,1.626345597,1.626345597,"El Carmen - Santander, Colombia",earthquake
44,SGC,SGC2019xqmnic,2019-12-01 18:05:27,6.81,-73.14,149.73,3.63,2.21,0.47,2.2,1.697056275,1.697056275,"Los Santos - Santander, Colombia",earthquake
45,SGC,SGC2019xqppht,2019-12-01 19:38:16,7.22,-73.09,148.0,46.17,1.73,0.35,2.6,1.979898987,1.979898987,"Bucaramanga - Santander, Colombia",earthquake
46,SGC,SGC2019xqqdmn,2019-12-01 19:54:43,6.79,-73.13,147.89,5.02,1.94,0.41,2.7,1.909188309,1.909188309,"Los Santos - Santander, Colombia",earthquake
47,SGC,SGC2019xqqxaq,2019-12-01 20:17:24,6.82,-73.21,144.04,5.12,1.66,0.22,1.8,1.555634919,1.555634919,"Zapatoca - Santander, Colombia",earthquake
48,SGC,SGC2019xqtvgc,2019-12-01 21:45:50,6.82,-73.14,153.82,3.0,1.75,0.55,5.5,3.676955262,3.676955262,"Los Santos - Santander, Colombia",earthquake
49,SGC,SGC2019xqwwuh,2019-12-01 23:18:09,6.81,-73.17,144.19,0.3,1.78,0.33,2.4,2.050609665,2.050609665,"Los Santos - Santander, Colombia",earthquake
50,SGC,SGC2019xqxhda,2019-12-01 23:30:10,6.31,-73.63,111.43,75.23,1.51,0.62,3.7,1.838477631,1.838477631,"Santa Helena del Opón - Santander, Colombia",earthquake
